"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_zeus_unique_15"	"What can a brute do to a god."
"DCG_VO_zeus_unique_16"	"La tua armatura non ti salverà, Ascia."
"DCG_VO_zeus_unique_17"	"You've brought quite the horde Sorla...but it won't be enough."
"DCG_VO_zeus_unique_18"	"La tua armatura non ti salverà, Tresdin."
"DCG_VO_zeus_unique_19"	"The Bronze Legion will fall!"
"DCG_VO_zeus_unique_20"	"Look at you two... standing together to fight a god. Adorable."
"DCG_VO_zeus_healed_01"	"Ahhh."
"DCG_VO_zeus_healed_02"	"Grazie."
"DCG_VO_zeus_healed_03"	"Grazie."
"DCG_VO_zeus_healed_04"	"A wise decision."
"DCG_VO_zeus_healed_05"	"Mi sento meglio."
"DCG_VO_zeus_taunt_generic_01"	"La fine è vicina!"
"DCG_VO_zeus_taunt_generic_02"	"È il nostro momento!"
"DCG_VO_zeus_taunt_generic_03"	"Smite our enemies!"
"DCG_VO_zeus_taunt_generic_04"	"Bring glory to the gods!"
"DCG_VO_zeus_taunt_generic_05"	"We'll bring them low!"
"DCG_VO_zeus_taunt_generic_06"	"Destroy the Ancient!"
"DCG_VO_zeus_taunt_generic_07"	"You offended the gods, and now you pay the price."
"DCG_VO_zeus_taunt_generic_08"	"Tutto questo finirà presto."
"DCG_VO_zeus_taunt_generic_09"	"Challenging Zeus was the last mistake you'll make."
"DCG_VO_zeus_taunt_generic_10"	"La nostra vittoria è assicurata."
"DCG_VO_zeus_potential_kill_01"	"Non mi sfuggirai!"
"DCG_VO_zeus_potential_kill_02"	"You can't hide from Zeus."
"DCG_VO_zeus_potential_kill_03"	"My will shall not be denied."
"DCG_VO_zeus_potential_kill_04"	"Die, mortal."
"DCG_VO_zeus_potential_kill_05"	"You wanted my attention, well now you have it..."
"DCG_VO_zeus_potential_save_01"	"Credi davvero di poter vincere?"
"DCG_VO_zeus_potential_save_02"	"Non sarà così facile..."
"DCG_VO_zeus_potential_save_03"	"You'll have to do better than that."
"DCG_VO_zeus_potential_save_04"	"You thought you kill me?"
"DCG_VO_zeus_potential_save_05"	"No no no..."
"DCG_VO_zeus_permanent_armor_01"	"Bene."
"DCG_VO_zeus_permanent_armor_02"	"I tire of mortal weakness."
"DCG_VO_zeus_permanent_armor_03"	"No more games."
"DCG_VO_zeus_permanent_armor_04"	"Prova a uccidermi ora, mortale."
"DCG_VO_zeus_permanent_armor_05"	"My flesh is iron, my voice thunder."
"DCG_VO_zeus_permanent_attack_01"	"My strength grows..."
"DCG_VO_zeus_permanent_attack_02"	"I will show them the might of Zeus."
"DCG_VO_zeus_permanent_attack_03"	"I grow stronger..."
"DCG_VO_zeus_permanent_attack_04"	"I feel the lightning rise within."
"DCG_VO_zeus_permanent_attack_05"	"They will feel my might"
"DCG_VO_zeus_permanent_health_01"	"Non abbandonerò questo campo di battaglia."
"DCG_VO_zeus_permanent_health_02"	"I must strengthen my resolve."
"DCG_VO_zeus_permanent_health_03"	"I won't stop fighting till the battle's won."
"DCG_VO_zeus_permanent_health_04"	"The storm is gathering."
"DCG_VO_zeus_permanent_health_05"	"È ora di combattere."
"DCG_VO_zeus_cast_spell_01"	"Gaze at my power mortals!"
"DCG_VO_zeus_cast_spell_02"	"SÌ!"
"DCG_VO_zeus_cast_spell_03"	"Il mio potere è assoluto!"
"DCG_VO_zeus_cast_spell_04"	"The power of the gods is undeniable."
"DCG_VO_zeus_cast_spell_05"	"Nessuno è alla mia altezza!"
"DCG_VO_zeus_cast_spell_06"	"I rule the heavens!"
"DCG_VO_zeus_cast_spell_07"	"There's nothing I can't do..."
"DCG_VO_zeus_cast_spell_08"	"It's ok to be impressed, mortals..."
"DCG_VO_zeus_cast_spell_09"	"Watch how a god does it..."
"DCG_VO_zeus_cast_spell_10"	"Playtime's over."
"DCG_VO_zeus_death_01"	"<i>screams</i>"
"DCG_VO_zeus_buff_ally_01"	"I am a benevolent god."
"DCG_VO_zeus_buff_ally_02"	"I will share in my bounty..."
"DCG_VO_zeus_buff_ally_03"	"See? Zeus is a loving god."
"DCG_VO_zeus_buff_ally_04"	"Puoi venerarmi, se vuoi."
"DCG_VO_zeus_buff_ally_05"	"You can show me your gratitude later."
"DCG_VO_zeus_buff_ally_06"	"Feel free to start worshiping me whenever you'd like."
"DCG_VO_zeus_buff_ally_07"	"Remember the day you were blessed by Zeus..."
"DCG_VO_zeus_buff_ally_08"	"I always take care of my friends..."
"DCG_VO_zeus_buff_ally_09"	"There are benefits to adoring me..."
"DCG_VO_zeus_buff_ally_10"	"Take and enjoy."
"DCG_VO_zeus_debuff_enemy_01"	"Cower before my might."
"DCG_VO_zeus_debuff_enemy_02"	"You are nothing compared to a God."
"DCG_VO_zeus_debuff_enemy_03"	"What chance do you have against me?"
"DCG_VO_zeus_debuff_enemy_04"	"I can destroy you whenever I please."
"DCG_VO_zeus_debuff_enemy_05"	"Osi opporti a me?"
"DCG_VO_zeus_debuff_enemy_06"	"To oppose me is folly."
"DCG_VO_zeus_debuff_enemy_07"	"Pagherai per la tua arroganza."
"DCG_VO_zeus_debuff_enemy_08"	"You're going to pay dearly."
"DCG_VO_zeus_debuff_enemy_09"	"I think I'm going to have fun with you..."
"DCG_VO_zeus_debuff_enemy_10"	"I enjoy watching you squirm."
"DCG_VO_zeus_single_target_damage_01"	"Begone!"
"DCG_VO_zeus_single_target_damage_02"	"Bah!"
"DCG_VO_zeus_single_target_damage_03"	"You're barely worth the effort."
"DCG_VO_zeus_single_target_damage_04"	"I command the lightning!"
"DCG_VO_zeus_single_target_damage_05"	"The lightning obeys me alone..."
"DCG_VO_zeus_single_target_damage_06"	"You asked to face Zeus, and so you shall."
"DCG_VO_zeus_single_target_damage_07"	"My fury is unmatched."
"DCG_VO_zeus_single_target_damage_08"	"You didn't want to anger me..."
"DCG_VO_zeus_single_target_damage_09"	"You wished to fight me? Very well."
"DCG_VO_zeus_single_target_damage_10"	"Your arrogance is amusing..."
"DCG_VO_zeus_multi_damage_small_01"	"Fuggite, mortali..."
"DCG_VO_zeus_multi_damage_small_02"	"I'll dispatch you with a wave of my hand..."
"DCG_VO_zeus_multi_damage_small_03"	"This is but a taste of my greatness..."
"DCG_VO_zeus_multi_damage_small_04"	"This is what you brought to stop Zeus?"
"DCG_VO_zeus_multi_damage_small_05"	"This army means nothing to me..."
"DCG_VO_zeus_multi_damage_small_06"	"Mi avete stancato..."
"DCG_VO_zeus_multi_damage_small_07"	"Levatevi di mezzo..."
"DCG_VO_zeus_multi_damage_small_08"	"I tire of this..."
"DCG_VO_zeus_multi_damage_small_09"	"You overstayed your welcome."
"DCG_VO_zeus_multi_damage_small_10"	"You no longer amuse me."
"DCG_VO_zeus_multi_damage_large_01"	"I WILL SMITE YOU!"
"DCG_VO_zeus_multi_damage_large_02"	"You dare anger a god?!"
"DCG_VO_zeus_multi_damage_large_03"	"My wrath is divine!"
"DCG_VO_zeus_multi_damage_large_04"	"ALL OF YOU WILL DIE!"
"DCG_VO_zeus_multi_damage_large_05"	"I will pay any price..."
"DCG_VO_zeus_multi_damage_large_06"	"I will blight the land!"
"DCG_VO_zeus_multi_damage_large_07"	"You anger a god?!"
"DCG_VO_zeus_multi_damage_large_08"	"Do you know who I am?"
"DCG_VO_zeus_multi_damage_large_09"	"Mortali, i vostri giorni sono contati!"
"DCG_VO_zeus_multi_damage_large_10"	"Feel the wrath of Zeus!"
"DCG_VO_zeus_pleased_01"	"Direi che le cose stanno andando bene..."
"DCG_VO_zeus_pleased_02"	"I wish Medusa could have seen this..."
"DCG_VO_zeus_pleased_03"	"I think my work here is almost done..."
"DCG_VO_zeus_pleased_04"	"È stata una giornata soddisfacente..."
"DCG_VO_zeus_pleased_05"	"This is good."
"DCG_VO_zeus_pleased_06"	"I'm pleased."
"DCG_VO_zeus_pleased_07"	"This pleases me."
"DCG_VO_zeus_pleased_08"	"It's not easy to amuse a god, and yet here I am smiling..."
"DCG_VO_zeus_pleased_09"	"This was a pleasant distraction..."
"DCG_VO_zeus_pleased_10"	"Una bella giornata."
"DCG_VO_zeus_concerned_01"	"Hmmm..."
"DCG_VO_zeus_concerned_02"	"This isn't supposed to happen."
"DCG_VO_zeus_concerned_03"	"What's going on here..."
"DCG_VO_zeus_concerned_04"	"I'm...I'm losing?"
"DCG_VO_zeus_concerned_05"	"Come posso perdere contro dei mortali?"
"DCG_VO_zeus_concerned_06"	"Perhaps I was a little overconfident..."
"DCG_VO_zeus_concerned_07"	"Hm, it seems I underestimated you..."
"DCG_VO_zeus_concerned_08"	"Well you're certainly putting up a fight, aren't you..."
"DCG_VO_zeus_concerned_09"	"This is not what I expected to happen...."
"DCG_VO_zeus_concerned_10"	"I won't let Hera have the satisfaction..."
"DCG_VO_zeus_angry_01"	"Zeus non perde contro i mortali!"
"DCG_VO_zeus_angry_02"	"You try to rival Zeus?"
"DCG_VO_zeus_angry_03"	"You have made your final mistake!"
"DCG_VO_zeus_angry_04"	"Ci saranno delle ripercussioni..."
"DCG_VO_zeus_angry_05"	"I will scorch the earth!"
"DCG_VO_zeus_angry_06"	"È il tuo ultimo giorno."
"DCG_VO_zeus_angry_07"	"Hai scatenato l'ira del re degli dei..."
"DCG_VO_zeus_angry_08"	"Libererò il mondo dalla tua presenza."
"DCG_VO_zeus_angry_09"	"Di te non resterà nient'altro che cenere fumante..."
"DCG_VO_zeus_angry_10"	"Il tuo corpo verrà ridotto in cenere."
"DCG_VO_zeus_arrogant_01"	"You face the king of the Gods!"
"DCG_VO_zeus_arrogant_02"	"Nessuno è più potente di Zeus!"
"DCG_VO_zeus_arrogant_03"	"You were not ready to face a god!"
"DCG_VO_zeus_arrogant_04"	"You are unworthy to die by my hand."
"DCG_VO_zeus_arrogant_05"	"Be glad. Today is the day you get to be murdered by Zeus."
"DCG_VO_zeus_arrogant_06"	"It is an honor to be smited by me personally."
"DCG_VO_zeus_arrogant_07"	"If you plead adequately, perhaps I won't destroy your homeland as well."
"DCG_VO_zeus_arrogant_08"	"You aren't worth the effort..."
"DCG_VO_zeus_arrogant_09"	"How could you hope to survive this battle?"
"DCG_VO_zeus_arrogant_10"	"Ahhh the stupid optimism of mortals..."
"DCG_VO_zeus_enigmatic_01"	"Who can understand the will of a god."
"DCG_VO_zeus_enigmatic_02"	"Faccio ciò che voglio, quando voglio..."
"DCG_VO_zeus_enigmatic_03"	"There is much power in the divine..."
"DCG_VO_zeus_enigmatic_04"	"There are some mysteries only a god can comprehend..."
"DCG_VO_zeus_enigmatic_05"	"My knowledge is vast..."
"DCG_VO_zeus_enigmatic_06"	"Il mio potere è infinito..."
"DCG_VO_zeus_enigmatic_07"	"La mia volontà è inarrestabile..."
"DCG_VO_zeus_enigmatic_08"	"Fatemi divertire, mortali..."
"DCG_VO_zeus_enigmatic_09"	"Zeus comes prepared..."
"DCG_VO_zeus_enigmatic_10"	"Niente sarà più come prima..."
"DCG_VO_zeus_death_01"	"<i>Urla</i>"
"DCG_VO_crystal_maiden_intro"	"'Warden of Icewrack' It's a fancy title. In theory it means I'm responsible for maintaining law and order, collaborating with the Sapphire Conclave on magical crimes, and protecting the weak from all manners of nasty things. In practice I help farmers fix fences. So I decided to go on a little sabbatical. Besides... I couldn't stay in Icewrack. It's cold. It's boring. And I heard my sister was planning on visiting so I definitely had to get the hell outta there. "
"DCG_VO_crystal_maiden_frostbite_intro"	"Unlike Lina, I like to try to find solutions that don't involve killing everyone."
"DCG_VO_crystal_maiden_at_any_cost_intro"	"There's a lot things you can say about my sister. Most of them revolve around her being a rage-filled arson machine."
"DCG_VO_crystal_maiden_firestorm_intro"	"We may sort of hate each other, but at the end of the day if I was going to war I'd want her on my side."
"DCG_VO_crystal_maiden_equip_generic_weapon_01"	"Shiny!"
"DCG_VO_crystal_maiden_equip_generic_weapon_02"	"Mi piace."
"DCG_VO_crystal_maiden_equip_generic_weapon_03"	"So much for a peaceful solution."
"DCG_VO_crystal_maiden_equip_generic_weapon_04"	"Mi serviva proprio."
"DCG_VO_crystal_maiden_equip_generic_weapon_05"	"È ora di combattere."
"DCG_VO_crystal_maiden_equip_generic_armor_01"	"Great! I like not dying."
"DCG_VO_crystal_maiden_equip_generic_armor_02"	"Better safe than sorry."
"DCG_VO_crystal_maiden_equip_generic_armor_03"	"Lo apprezzo, sono felice di restare in vita."
"DCG_VO_crystal_maiden_equip_generic_armor_04"	"This'll work."
"DCG_VO_crystal_maiden_equip_generic_armor_05"	"Mi sento già più al sicuro."
"DCG_VO_crystal_maiden_equip_generic_accessory_01"	"Starebbe malissimo a Lina... lo adoro."
"DCG_VO_crystal_maiden_equip_generic_accessory_02"	"Mi sta benissimo."
"DCG_VO_crystal_maiden_equip_generic_accessory_03"	"I'm gonna use this."
"DCG_VO_crystal_maiden_equip_generic_accessory_04"	"Proprio quello che mi serviva."
"DCG_VO_crystal_maiden_equip_generic_accessory_05"	"Perfetto!"
"DCG_VO_crystal_maiden_kill_rival_01"	"You're going down."
"DCG_VO_crystal_maiden_kill_rival_02"	"This isn't gonna end well for you."
"DCG_VO_crystal_maiden_kill_rival_03"	"Arrenditi e basta!"
"DCG_VO_crystal_maiden_kill_rival_04"	"You're not walking away!"
"DCG_VO_crystal_maiden_kill_rival_05"	"I'm taking you out!"
"DCG_VO_crystal_maiden_kill_rival_06"	"Vincerò io questa battaglia!"
"DCG_VO_crystal_maiden_kill_rival_07"	"I won't let you hurt anyone else!"
"DCG_VO_crystal_maiden_kill_rival_08"	"Ti fermerò!"
"DCG_VO_crystal_maiden_kill_rival_09"	"Oh my god I actually get to kill someone!"
"DCG_VO_crystal_maiden_kill_rival_10"	"If you need me to hold the line, I will."
"DCG_VO_crystal_maiden_use_include_01"	"Non credo proprio!"
"DCG_VO_crystal_maiden_use_include_02"	"Non farai male a nessuno!"
"DCG_VO_crystal_maiden_use_include_03"	"Non così in fretta!"
"DCG_VO_crystal_maiden_unique_01"	"This spell's on me."
"DCG_VO_crystal_maiden_unique_02"	"I'm taking you with me!"
"DCG_VO_crystal_maiden_unique_03"	"I'm ending this now!"
"DCG_VO_crystal_maiden_unique_04"	"Non temere, non sentirai praticamente nulla."
"DCG_VO_crystal_maiden_unique_06"	"Beh, era inevitabile, non è vero?"
"DCG_VO_crystal_maiden_unique_07"	"Look I get it - my family hates me too."
"DCG_VO_crystal_maiden_unique_08"	"Lina isn't even here and she's still managing to ruin my day."
"DCG_VO_crystal_maiden_unique_09"	"Ma prego!"
"DCG_VO_crystal_maiden_unique_10"	"Possiamo vincere!"
"DCG_VO_crystal_maiden_unique_11"	"We can't give up!"
"DCG_VO_crystal_maiden_unique_12"	"Non è ancora finita!"
"DCG_VO_crystal_maiden_unique_13"	"Let's finish this!"
"DCG_VO_crystal_maiden_unique_14"	"Non oggi, Ascia."
"DCG_VO_crystal_maiden_unique_15"	"I think it's great you two are making up."
"DCG_VO_crystal_maiden_unique_16"	"Chiamerò i rinforzi!"
"DCG_VO_crystal_maiden_unique_17"	"Arrivano i rinforzi!"
"DCG_VO_crystal_maiden_unique_18"	"Yeah, this is bad."
"DCG_VO_crystal_maiden_unique_19"	"Better think of something fast."
"DCG_VO_crystal_maiden_unique_20"	"This isn't looking too good."
"DCG_VO_crystal_maiden_healed_01"	"Ahhh!"
"DCG_VO_crystal_maiden_healed_02"	"Grazie!"
"DCG_VO_crystal_maiden_healed_03"	"Molte grazie!"
"DCG_VO_crystal_maiden_healed_04"	"I needed that."
"DCG_VO_crystal_maiden_healed_05"	"Mi sento meglio."
"DCG_VO_crystal_maiden_taunt_generic_01"	"It's our time now!"
"DCG_VO_crystal_maiden_taunt_generic_02"	"Let's win this thing!"
"DCG_VO_crystal_maiden_taunt_generic_03"	"Time to take 'em out!"
"DCG_VO_crystal_maiden_taunt_generic_04"	"Let's do this!"
"DCG_VO_crystal_maiden_taunt_generic_05"	"Non ti lascerò vincere!"
"DCG_VO_crystal_maiden_taunt_generic_06"	"I am the Crystal Maiden of Icewrack!"
"DCG_VO_crystal_maiden_taunt_generic_07"	"Non vincerai mai!"
"DCG_VO_crystal_maiden_taunt_generic_08"	"Non ci arrenderemo mai!"
"DCG_VO_crystal_maiden_taunt_generic_09"	"Combatteremo fino alla fine!"
"DCG_VO_crystal_maiden_taunt_generic_10"	"You're out of your league."
"DCG_VO_crystal_maiden_potential_kill_01"	"Ti ho in pugno."
"DCG_VO_crystal_maiden_potential_kill_02"	"Oh I was just getting warmed up."
"DCG_VO_crystal_maiden_potential_kill_03"	"You're not getting away that easily."
"DCG_VO_crystal_maiden_potential_kill_04"	"You think I can't take you out?"
"DCG_VO_crystal_maiden_potential_kill_05"	"Bet you didn't see this comin'."
"DCG_VO_crystal_maiden_potential_save_01"	"Sorry buddy, I like not dying."
"DCG_VO_crystal_maiden_potential_save_02"	"Yeah, no."
"DCG_VO_crystal_maiden_potential_save_03"	"I'm not dying today."
"DCG_VO_crystal_maiden_potential_save_04"	"Whew that was close..."
"DCG_VO_crystal_maiden_potential_save_05"	"Bet you thought you had me, didn't you?"
"DCG_VO_crystal_maiden_permanent_armor_01"	"Time to toughen up."
"DCG_VO_crystal_maiden_permanent_armor_02"	"I like not getting stabbed"
"DCG_VO_crystal_maiden_permanent_armor_03"	"Devo diventare più forte."
"DCG_VO_crystal_maiden_permanent_armor_04"	"Devo proteggermi."
"DCG_VO_crystal_maiden_permanent_armor_05"	"Mi sento più al sicuro."
"DCG_VO_crystal_maiden_permanent_attack_01"	"I need to toughen up."
"DCG_VO_crystal_maiden_permanent_attack_02"	"I'll be hitting harder now."
"DCG_VO_crystal_maiden_permanent_attack_03"	"I feel stronger now."
"DCG_VO_crystal_maiden_permanent_attack_04"	"Alright..."
"DCG_VO_crystal_maiden_permanent_attack_05"	"Let's see 'em mess with me now."
"DCG_VO_crystal_maiden_permanent_health_01"	"I feel healthier."
"DCG_VO_crystal_maiden_permanent_health_02"	"The longer I stick around, the better."
"DCG_VO_crystal_maiden_permanent_health_03"	"I like not dying."
"DCG_VO_crystal_maiden_permanent_health_04"	"The benefits of clean living..."
"DCG_VO_crystal_maiden_permanent_health_05"	"It's not blind optimism when you can back it up."
"DCG_VO_crystal_maiden_cast_spell_01"	"Let me show you what I can do."
"DCG_VO_crystal_maiden_cast_spell_02"	"I got a few tricks up my sleeve."
"DCG_VO_crystal_maiden_cast_spell_03"	"Time to do what I do best."
"DCG_VO_crystal_maiden_cast_spell_04"	"Let me show ya what I got."
"DCG_VO_crystal_maiden_cast_spell_05"	"You're not at my level."
"DCG_VO_crystal_maiden_cast_spell_06"	"You're not ready for this."
"DCG_VO_crystal_maiden_cast_spell_07"	"Watch this."
"DCG_VO_crystal_maiden_cast_spell_08"	"You think you can beat us?"
"DCG_VO_crystal_maiden_cast_spell_09"	"There's more where this comes from."
"DCG_VO_crystal_maiden_cast_spell_10"	"Ah!"
"DCG_VO_crystal_maiden_death_01"	"<i>Urla</i>"
"DCG_VO_skywrath_mage_intro"	"Posso comprendere la situazione di Rix. Non è facile seguire gli ordini di un leader che disprezzi. Purtroppo, però, non posso permettermi il lusso di dare il via a una ribellione. La posta in gioco è troppo alta, quindi dovrò attendere... fino a quando non mi riunirò con la mia amata."
"DCG_VO_skywrath_mage_mystic_flare"	"I dedicated my life to the pursuit of the mystic arts... But while my head was buried in books, my beloved was betrayed and cast out of the Ghastly Eyrie. I was unable to save her then... But at least I have the power to save her now."
"DCG_VO_skywrath_mage_strafing_run"	"Soaring through the air is not just a liberating experience, it is also an effective way to dispatch one's enemies."
"DCG_VO_skywrath_mage_use_ability_01"	"Bal'lash!"
"DCG_VO_skywrath_mage_use_ability_02"	"Indebolirò i nostri nemici..."
"DCG_VO_skywrath_mage_use_ability_03"	"È il momento di colpire!"
"DCG_VO_skywrath_mage_use_ability_04"	"La tua morte è inevitabile..."
"DCG_VO_skywrath_mage_use_ability_05"	"Nessuno può contrastare la mia volontà..."
"DCG_VO_skywrath_mage_equip_generic_weapon_01"	"I am trained in all forms of martial combat..."
"DCG_VO_skywrath_mage_equip_generic_weapon_02"	"Farò il mio dovere."
"DCG_VO_skywrath_mage_equip_generic_weapon_03"	"I serve the Nest of Thorns."
