"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_sniper_potential_kill_04"	"Don't worry, you'll be dead soon enough."
"DCG_VO_sniper_potential_kill_05"	"Enjoy your last moments..."
"DCG_VO_sniper_potential_save_01"	"Ha!"
"DCG_VO_sniper_potential_save_02"	"Nothing equals Keenfolk ingenuity..."
"DCG_VO_sniper_potential_save_03"	"You think I didn't have a plan?"
"DCG_VO_sniper_potential_save_04"	"You didn't think you were winning did you?"
"DCG_VO_sniper_potential_save_05"	"It's not over yet..."
"DCG_VO_sniper_permanent_armor_01"	"Good plan."
"DCG_VO_sniper_permanent_armor_02"	"If I'm going to be on the front lines I need to be prepared..."
"DCG_VO_sniper_permanent_armor_03"	"Getting tougher..."
"DCG_VO_sniper_permanent_armor_04"	"Who needs Timbersaws' little robot..."
"DCG_VO_sniper_permanent_armor_05"	"Ready for war."
"DCG_VO_sniper_permanent_attack_01"	"Let's shoot people."
"DCG_VO_sniper_permanent_attack_02"	"I'm always sharpening my skills."
"DCG_VO_sniper_permanent_attack_03"	"My aim is only getting better."
"DCG_VO_sniper_permanent_attack_04"	"More lethal by the moment...."
"DCG_VO_sniper_permanent_attack_05"	"Lets go hunting."
"DCG_VO_sniper_permanent_health_01"	"I'm heartier than I look."
"DCG_VO_sniper_permanent_health_02"	"I'm not going anywhere..."
"DCG_VO_sniper_permanent_health_03"	"No one's killing me..."
"DCG_VO_sniper_permanent_health_04"	"Let's seem 'em try to hurt me..."
"DCG_VO_sniper_permanent_health_05"	"Better safe than sorry..."
"DCG_VO_sniper_cast_spell_01"	"I've thought of everything..."
"DCG_VO_sniper_cast_spell_02"	"How do you plan to deal with this?"
"DCG_VO_sniper_cast_spell_03"	"You've fallen into my trap..."
"DCG_VO_sniper_cast_spell_04"	"You're out of options."
"DCG_VO_sniper_cast_spell_05"	"Never mess with the Keen."
"DCG_VO_sniper_cast_spell_06"	"The Keen aren't so easily tricked."
"DCG_VO_sniper_cast_spell_07"	"Let me show you something new I cooked up..."
"DCG_VO_sniper_cast_spell_08"	"Behold the power of the Keenfolk."
"DCG_VO_sniper_cast_spell_09"	"I'm ready for every eventuality."
"DCG_VO_sniper_cast_spell_10"	"My turn..."
"DCG_VO_sniper_buff_ally_01"	"Here you go..."
"DCG_VO_sniper_buff_ally_02"	"A gift from the Keen."
"DCG_VO_sniper_buff_ally_03"	"Enjoy it."
"DCG_VO_sniper_buff_ally_04"	"We work well together, yes?"
"DCG_VO_sniper_buff_ally_05"	"Take this!"
"DCG_VO_sniper_buff_ally_06"	"We're in this together."
"DCG_VO_sniper_buff_ally_07"	"We're going to win this."
"DCG_VO_sniper_buff_ally_08"	"You'll need this!"
"DCG_VO_sniper_buff_ally_09"	"You're no good to me dead."
"DCG_VO_sniper_buff_ally_10"	"It pays to have a Keen as your ally, eh?"
"DCG_VO_sniper_debuff_enemy_01"	"What's a matter?"
"DCG_VO_sniper_debuff_enemy_02"	"Not so scary any more, are you?"
"DCG_VO_sniper_debuff_enemy_03"	"Right where I want you..."
"DCG_VO_sniper_debuff_enemy_04"	"You weren't ready for this."
"DCG_VO_sniper_debuff_enemy_05"	"First I line them up..."
"DCG_VO_sniper_debuff_enemy_06"	"It's the beginning of the end, for you..."
"DCG_VO_sniper_debuff_enemy_07"	"Oh I'm just getting started..."
"DCG_VO_sniper_debuff_enemy_08"	"It's ok, I'll put you out of your misery soon enough..."
"DCG_VO_sniper_debuff_enemy_09"	"Coming here was your biggest mistake..."
"DCG_VO_sniper_debuff_enemy_10"	"You'll live long enough to watch your friends die..."
"DCG_VO_sniper_single_target_damage_01"	"Taking the shot."
"DCG_VO_sniper_single_target_damage_02"	"I got 'em."
"DCG_VO_sniper_single_target_damage_03"	"Taking aim."
"DCG_VO_sniper_single_target_damage_04"	"I got you now."
"DCG_VO_sniper_single_target_damage_05"	"I love target practice."
"DCG_VO_sniper_single_target_damage_06"	"Spotted."
"DCG_VO_sniper_single_target_damage_07"	"Bang."
"DCG_VO_sniper_single_target_damage_08"	"Let's see if you survive this..."
"DCG_VO_sniper_single_target_damage_09"	"A gift from me to you."
"DCG_VO_sniper_single_target_damage_10"	"You won't live to strike me."
"DCG_VO_sniper_multi_damage_small_01"	"Like fish in a barrel..."
"DCG_VO_sniper_multi_damage_small_02"	"Covering fire!"
"DCG_VO_sniper_multi_damage_small_03"	"I have enough ammo for all of you!"
"DCG_VO_sniper_multi_damage_small_04"	"Now isn't the time for precision."
"DCG_VO_sniper_multi_damage_small_05"	"Time to take 'em out."
"DCG_VO_sniper_multi_damage_small_06"	"Suppressing fire!"
"DCG_VO_sniper_multi_damage_small_07"	"I don't care how many of you there are!"
"DCG_VO_sniper_multi_damage_small_08"	"I got something for each of you!"
"DCG_VO_sniper_multi_damage_small_09"	"Time for some trick shooting."
"DCG_VO_sniper_multi_damage_small_10"	"I'll take on all of you!"
"DCG_VO_sniper_multi_damage_large_01"	"You're all dead!"
"DCG_VO_sniper_multi_damage_large_02"	"Hahahahaha"
"DCG_VO_sniper_multi_damage_large_03"	"Dance!"
"DCG_VO_sniper_multi_damage_large_04"	"Watch a professional do his thing..."
"DCG_VO_sniper_multi_damage_large_05"	"NO ONE IS MY EQUAL!"
"DCG_VO_sniper_multi_damage_large_06"	"No one gets the drop on the Keen."
"DCG_VO_sniper_multi_damage_large_07"	"Dance... DANCE!"
"DCG_VO_sniper_multi_damage_large_08"	"Boom."
"DCG_VO_sniper_multi_damage_large_09"	"There's no where to hide!"
"DCG_VO_sniper_multi_damage_large_10"	"This is where you die!"
"DCG_VO_sniper_pleased_01"	"Well done."
"DCG_VO_sniper_pleased_02"	"Exquisite."
"DCG_VO_sniper_pleased_03"	"Good."
"DCG_VO_sniper_pleased_04"	"Delightful."
"DCG_VO_sniper_pleased_05"	"The construction is excellent."
"DCG_VO_sniper_pleased_06"	"Not bad."
"DCG_VO_sniper_pleased_07"	"Impressive."
"DCG_VO_sniper_pleased_08"	"Couldn't have done it better."
"DCG_VO_sniper_pleased_09"	"Excellent."
"DCG_VO_sniper_pleased_10"	"As intended..."
"DCG_VO_sniper_concerned_01"	"I didn't account for this."
"DCG_VO_sniper_concerned_02"	"This isn't going as planned."
"DCG_VO_sniper_concerned_03"	"This can't be happening..."
"DCG_VO_sniper_concerned_04"	"No, this can't be!"
"DCG_VO_sniper_concerned_05"	"How is this happening..."
"DCG_VO_sniper_concerned_06"	"It's all falling apart..."
"DCG_VO_sniper_concerned_07"	"There has to be a way out of this..."
"DCG_VO_sniper_concerned_08"	"It's not over yet, I just have to think..."
"DCG_VO_sniper_concerned_09"	"Oh dear..."
"DCG_VO_sniper_concerned_10"	"How did I not see this coming?"
"DCG_VO_sniper_angry_01"	"NO!"
"DCG_VO_sniper_angry_02"	"You'll pay dearly!"
"DCG_VO_sniper_angry_03"	"Feel my wrath..."
"DCG_VO_sniper_angry_04"	"I'll kill you all!"
"DCG_VO_sniper_angry_05"	"This doesn't end here!"
"DCG_VO_sniper_angry_06"	"I won't let you kill me!"
"DCG_VO_sniper_angry_07"	"I won't go without a fight!"
"DCG_VO_sniper_angry_08"	"I'm done playing games..."
"DCG_VO_sniper_angry_09"	"This is the end..."
"DCG_VO_sniper_angry_10"	"I'm going to take your head off..."
"DCG_VO_sniper_arrogant_01"	"Who can match skill?"
"DCG_VO_sniper_arrogant_02"	"Please, I'm supposed to be impressed?"
"DCG_VO_sniper_arrogant_03"	"How pedestrian..."
"DCG_VO_sniper_arrogant_04"	"You think a marksman of my skill can be denied?"
"DCG_VO_sniper_arrogant_05"	"I welcome a challenge."
"DCG_VO_sniper_arrogant_06"	"Oh look, a 'challenge', how quaint."
"DCG_VO_sniper_arrogant_07"	"Swords and armor? Please."
"DCG_VO_sniper_arrogant_08"	"I'll punch a hole through any armor."
"DCG_VO_sniper_arrogant_09"	"You actually thought you could win didn't you?"
"DCG_VO_sniper_arrogant_10"	"As always, the keen are unmatched."
"DCG_VO_sniper_enigmatic_01"	"Time is running out..."
"DCG_VO_sniper_enigmatic_02"	"All roads led to this moment..."
"DCG_VO_sniper_enigmatic_03"	"When the Keen stand together, nothing can stop us..."
"DCG_VO_sniper_enigmatic_04"	"The Keen didn't seek out war, we just perfected it."
"DCG_VO_sniper_enigmatic_05"	"I have something special in store for you."
"DCG_VO_sniper_enigmatic_06"	"Here's a new trick I've been working on..."
"DCG_VO_sniper_enigmatic_07"	"Perhaps you're not familiar with what the Keen are capable of."
"DCG_VO_sniper_enigmatic_08"	"I'm looking forward to killing a god..."
"DCG_VO_sniper_enigmatic_09"	"Science will always beat magic."
"DCG_VO_sniper_enigmatic_10"	"Iron Fog is an inspiration to us all..."
"DCG_VO_sniper_death_01"	"<i>Screams</i>"
"DCG_VO_pugna_intro"	"The Tyler Estate. It seeks to control magic. Punish those that violate rules set by the Quorum. But I will show them that some things cannot be controlled. And when the Tyler Estate burns, I will set my sights on Weeping Rose itself."
"DCG_VO_pugna_crippling_blo"	"The best part of making your enemy limp away is that you really get to take the time to savor their last moments."
"DCG_VO_pugna_nether_ward"	"You could tell me that there are more sublime things than watching a wizard slowly kill themselves... but I'm not sure I'd believe you."
"DCG_VO_pugna_use_ability_01"	"Nether Blast!"
"DCG_VO_pugna_use_ability_02"	"It all comes crumbling down, does it not?"
"DCG_VO_pugna_use_ability_03"	"Whatever you can build, the Nether can destroy."
"DCG_VO_pugna_use_ability_04"	"From the Nether Reaches!"
"DCG_VO_pugna_use_ability_05"	"The malice of Oblivion!"
"DCG_VO_pugna_equip_generic_weapon_01"	"Mine!"
"DCG_VO_pugna_equip_generic_weapon_02"	"Mine, mine, mine!"
"DCG_VO_pugna_equip_generic_weapon_03"	"I take and I take."
"DCG_VO_pugna_equip_generic_weapon_04"	"Always wanted one of these."
"DCG_VO_pugna_equip_generic_weapon_05"	"Ah! It shall make my enemies weep."
"DCG_VO_pugna_equip_generic_armor_01"	"Mine! Always mine!"
"DCG_VO_pugna_equip_generic_armor_02"	"I covet this.."
"DCG_VO_pugna_equip_generic_armor_03"	"This will protect me..."
"DCG_VO_pugna_equip_generic_armor_04"	"I'm always ready for my enemies..."
"DCG_VO_pugna_equip_generic_armor_05"	"Oblivion can wait. I want THIS now."
"DCG_VO_pugna_equip_generic_accessory_01"	"So shiny."
"DCG_VO_pugna_equip_generic_accessory_02"	"A new toy to play with."
"DCG_VO_pugna_equip_generic_accessory_03"	"I can't wait to use this..."
"DCG_VO_pugna_equip_generic_accessory_04"	"Oh this'll be fun..."
"DCG_VO_pugna_equip_generic_accessory_05"	"You're jealous aren't you..."
"DCG_VO_pugna_kill_rival_01"	"Off to Oblivion with you!"
"DCG_VO_pugna_kill_rival_02"	"What did you expect?"
"DCG_VO_pugna_kill_rival_03"	"Enter Oblivion, fool!"
"DCG_VO_pugna_kill_rival_04"	"Life exits through the eyes."
"DCG_VO_pugna_kill_rival_05"	"From the moment I saw you, I knew you would burn..."
"DCG_VO_pugna_kill_rival_06"	"Life is wasted on the living."
"DCG_VO_pugna_kill_rival_07"	"Embrace Oblivion!"
"DCG_VO_pugna_kill_rival_08"	"Your existence ends. Oblivion begins!"
"DCG_VO_pugna_kill_rival_09"	"The Nether hungers! "
"DCG_VO_pugna_kill_rival_10"	"The body crumbles, the soul is washed clean. "
"DCG_VO_pugna_use_include_01"	"Your destruction will come at your own hand..."
"DCG_VO_pugna_use_include_02"	"My wicked Wards!"
"DCG_VO_pugna_use_include_03"	"Go ahead. Cast a spell. "
"DCG_VO_pugna_unique_01"	"Oh, my lovely pet! Together again, at last!"
"DCG_VO_pugna_unique_02"	"Kill for me, pretty serpent! "
"DCG_VO_pugna_unique_03"	"You have been missed, dearest pet. You are mine now. And forever."
"DCG_VO_pugna_unique_04"	"You seek to kill your master Viper?"
"DCG_VO_pugna_unique_05"	"You're mine Viper, and no one else's..."
"DCG_VO_pugna_unique_06"	"What are you thinking, foolish pet? Obey your master!"
"DCG_VO_pugna_unique_07"	"You have promise Kanna..."
"DCG_VO_pugna_unique_08"	"I will prove to the Dire that I am more worthy than you!"
"DCG_VO_pugna_unique_09"	"Dire child... you are nothing compared to me..."
"DCG_VO_pugna_unique_10"	"I get why your daughter hates you so much, Prellex."
"DCG_VO_pugna_unique_11"	"The Radiant will never get a foothold here..."
"DCG_VO_pugna_unique_12"	"There's no escaping death..."
"DCG_VO_pugna_unique_13"	"What is the power of Avernus compared to the power of Oblivion..."
"DCG_VO_pugna_unique_14"	"This is supremely satisfying..."
"DCG_VO_pugna_unique_15"	"Aghanim's secrets should be mine alone!"
"DCG_VO_pugna_unique_16"	"Magic will always be stronger than science..."
"DCG_VO_pugna_unique_17"	"There are consequences for opposing me..."
"DCG_VO_pugna_unique_18"	"Chose your next words carefully..."
"DCG_VO_pugna_unique_19"	"A pale imitation of my power..."
"DCG_VO_pugna_unique_20"	"You think you could use my own wards against me?"
"DCG_VO_pugna_unique_21"	"I will burn the Tyler estate to the ground!"
"DCG_VO_pugna_unique_22"	"No one will silence me!"
"DCG_VO_pugna_unique_23"	"The Tyler Estate will never hold me!"
"DCG_VO_pugna_healed_01"	"Ahhh"
"DCG_VO_pugna_healed_02"	"I remain..."
"DCG_VO_pugna_healed_03"	"I fear nothing..."
"DCG_VO_pugna_healed_04"	"I won't be struck down..."
"DCG_VO_pugna_healed_05"	"This fight isn't over..."
"DCG_VO_pugna_taunt_generic_01"	"A new age of dark magic starts now."
"DCG_VO_pugna_taunt_generic_02"	"Crush them!"
"DCG_VO_pugna_taunt_generic_03"	"I will cause suffering..."
"DCG_VO_pugna_taunt_generic_04"	"The Nether Reaches have come for you."
"DCG_VO_pugna_taunt_generic_05"	"Oblivion beckons. Do you hear it?"
"DCG_VO_pugna_taunt_generic_06"	"In me, Oblivion is given a voice... and a wicked hand."
"DCG_VO_pugna_taunt_generic_07"	"The fires of the Nether will consume you!"
"DCG_VO_pugna_taunt_generic_08"	"Destroy them all!"
"DCG_VO_pugna_taunt_generic_09"	"No one can withstand the Nether!"
"DCG_VO_pugna_taunt_generic_10"	"Burn the Ancient!"
"DCG_VO_pugna_potential_kill_01"	"Oblivion is at your doorstep."
"DCG_VO_pugna_potential_kill_02"	"The Nether flames flicker along your flesh."
"DCG_VO_pugna_potential_kill_03"	"Can you not see Oblivion, even as its jaws close around you?"
"DCG_VO_pugna_potential_kill_04"	"There's no hiding from me..."
"DCG_VO_pugna_potential_kill_05"	"The malice of Oblivion is without end, without mercy."
"DCG_VO_pugna_potential_save_01"	"Not today."
"DCG_VO_pugna_potential_save_02"	"I don't fear the Nether..."
"DCG_VO_pugna_potential_save_03"	"You won't kill me today..."
"DCG_VO_pugna_potential_save_04"	"It's not my time..."
"DCG_VO_pugna_potential_save_05"	"I endure..."
"DCG_VO_pugna_permanent_armor_01"	"My body is forged in magic.."
"DCG_VO_pugna_permanent_armor_02"	"Bring your weapons, they will do nothing..."
"DCG_VO_pugna_permanent_armor_03"	"Let the battle come to me."
"DCG_VO_pugna_permanent_armor_04"	"My body has been reborn."
"DCG_VO_pugna_permanent_armor_05"	"I will be the last one standing..."
"DCG_VO_pugna_permanent_attack_01"	"I will bring ruin...."
"DCG_VO_pugna_permanent_attack_02"	"I look forward to scattering ashes..."
"DCG_VO_pugna_permanent_attack_03"	"All becomes dust before the fires of Oblivion!"
"DCG_VO_pugna_permanent_attack_04"	"My malice grows..."
"DCG_VO_pugna_permanent_attack_05"	"Oblivion imbues me..."
"DCG_VO_pugna_permanent_health_01"	"I'm not afraid of war."
"DCG_VO_pugna_permanent_health_02"	"Long after you are dead, I shall remain..."
"DCG_VO_pugna_permanent_health_03"	"The nether's strength burns within me..."
"DCG_VO_pugna_permanent_health_04"	"I am reborn in the nether!"
"DCG_VO_pugna_permanent_health_05"	"I'll take on your entire army!"
"DCG_VO_pugna_cast_spell_01"	"See what the Nether has empowered!"
"DCG_VO_pugna_cast_spell_02"	"Behold, the wicked power of Oblivion!"
"DCG_VO_pugna_cast_spell_03"	"I bind and command!"
"DCG_VO_pugna_cast_spell_04"	"Who is to blame for such agony & misfortune?"
"DCG_VO_pugna_cast_spell_05"	"Oblivion tears down all obstacles, all barriers."
"DCG_VO_pugna_cast_spell_06"	"We are each the architects of our own destruction."
"DCG_VO_pugna_cast_spell_07"	"Don't blame me when it all burns."
"DCG_VO_pugna_cast_spell_08"	"Everyone should know better than to trust a monster."
"DCG_VO_pugna_cast_spell_09"	"Behold the power of the Nether..."
"DCG_VO_pugna_cast_spell_10"	"Perhaps this shall make things worse."
"DCG_VO_pugna_buff_ally_01"	"You belong to me now..."
"DCG_VO_pugna_buff_ally_02"	"You shall be Oblivion's instrument of ruination."
"DCG_VO_pugna_buff_ally_03"	"All gifts come with a wicked price."
"DCG_VO_pugna_buff_ally_04"	"Enjoy my gift."
"DCG_VO_pugna_buff_ally_05"	"Share in my power."
"DCG_VO_pugna_buff_ally_06"	"Use this to destroy our enemies..."
"DCG_VO_pugna_buff_ally_07"	"I need powerful allies."
"DCG_VO_pugna_buff_ally_08"	"Let us kill them all..."
"DCG_VO_pugna_buff_ally_09"	"Together we will bring them Oblivion."
"DCG_VO_pugna_buff_ally_10"	"You're my friend now. Forever."
"DCG_VO_pugna_debuff_enemy_01"	"A gift for you.."
"DCG_VO_pugna_debuff_enemy_02"	"I have prepared a special cruelty just for you."
"DCG_VO_pugna_debuff_enemy_03"	"A kiss of malice, a prayer of wickedness."
"DCG_VO_pugna_debuff_enemy_04"	"Oblivion brushes against you..."
"DCG_VO_pugna_debuff_enemy_05"	"You're weak."
"DCG_VO_pugna_debuff_enemy_06"	"My flames light your way to Oblivion..."
"DCG_VO_pugna_debuff_enemy_07"	"My emerald fire will consume you..."
"DCG_VO_pugna_debuff_enemy_08"	"Soon you will be nothing but ash..."
"DCG_VO_pugna_debuff_enemy_09"	"What chance do you have against me..."
"DCG_VO_pugna_debuff_enemy_10"	"Your frailty shows..."
"DCG_VO_pugna_single_target_damage_01"	"I'm going to burn you alive."
"DCG_VO_pugna_single_target_damage_02"	"Oblivion waits, ever hungry."
"DCG_VO_pugna_single_target_damage_03"	"I want to hear you scream."
"DCG_VO_pugna_single_target_damage_04"	"I'm going to enjoy taking your life."
"DCG_VO_pugna_single_target_damage_05"	"Oblivion is eager for you."
"DCG_VO_pugna_single_target_damage_06"	"Your bones will burn."
"DCG_VO_pugna_single_target_damage_07"	"Crackling through every agonized inch of you, the Nether burns!"
"DCG_VO_pugna_single_target_damage_08"	"I'll laugh as you burn."
